name,brand,quantity,generic_name,image_url,categories,labels,allergens,nutriscore,nova_group,ecoscore,origins
Entenfleisch,Du darfst,400 g,,https://images.openfoodfacts.org/images/products/404/498/300/1445/1.400.jpg,en:meats-and-their-products|en:meals|en:meals-with-meat|en:poultry-meals|en:duck-dishes,,en:celery|en:milk|en:mustard|en:sulphur-dioxide-and-sulphites|de:natriummetabisulfit,c,4,e,
S- Kapern,K - Classic,60g,,,en:condiments|en:groceries,,,e,3,,
Feinster Lachs geräuchert,Stührk,50 g,Räucherlachs,https://images.openfoodfacts.org/images/products/410/172/000/2087/1.400.jpg,en:seafood|en:fishes-and-their-products|en:fishes|en:fatty-fishes|en:salmons|en:smoked-fishes|en:smoked-salmons,en:german-agricultural-society|en:gold-medal-of-the-german-agricultural-society|en:2018-gold-medal-of-the-german-agricultural-society,en:fish,d,3,e,
Uncle Ben's express mexikanisch,Uncle Ben's,250g,,https://images.openfoodfacts.org/images/products/52000744/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:cereals-and-their-products|en:precooked-rices,,,c,4,d,
Schinkenwürfeli,Maestade,80g,Schinken,,en:meats-and-their-products|en:meats|en:prepared-meats|en:hams,,,d,,,
Kakao Brombeere Granola,lycka,350g,Müsli,https://images.openfoodfacts.org/images/products/426/037/684/0136/4.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:cereals-and-potatoes|en:cereals-and-their-products|en:breakfast-cereals|en:mueslis,en:organic|en:vegetarian|en:eu-organic|en:vegan|de:eg-öko-verordnung|en:european-vegetarian-union|en:european-vegetarian-union-vegan|fr:vegan-bio,en:eggs|en:gluten,c,3,a,
Zuckerfrei Choco Cookies,Coppenrath,200g,Kekse,https://images.openfoodfacts.org/images/products/700/681/200/6936/1.400.jpg,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits-and-crackers|en:biscuits|en:chocolate-biscuits|en:milk-chocolate-biscuits,en:sustainable-farming|en:utz-certified,en:eggs|en:nuts|en:soybeans,d,4,c,
Cleane Gemüsebrühe,Spicebar,100gr,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:broths|en:vegetable-broths,en:organic|en:eu-organic|de:eg-öko-verordnung,,e,4,,
Raps-Speiseöl,Henry Lamotte Oils GmbH,500 ml,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fats|en:vegetable-fats|en:vegetable-oils|en:rapeseed-oils,,,b,2,c,Norddeutschland
Putenzwiebelmettwurst,Meisterklasse,125 g,Wurst,https://images.openfoodfacts.org/images/products/400/678/400/6265/2.400.jpg,en:meats-and-their-products|en:meats|en:prepared-meats|en:sausages|en:poultry-sausages|de:geflügelmettwurst|de:zwiebelmettwurst,de:100-geflügel,,d,,e,Deutschland
