# Categories from openfoodfacts-products.jsonl
# Total products: 373,676
# Products with categories: 161,016
# Unique categories: 17,072
#
# Format: count | category
#============================================================

   208 | en:goat-cheeses
   207 | en:poultry-nuggets
   207 | en:flavored-waters
   206 | en:pumpkin-and-squash-plant-products
   206 | en:sugar-free-chewing-gum
   205 | en:susswaren
   204 | en:cocoa-powders
   204 | en:sauerkrauts
   201 | en:strawberry-jams
   200 | en:stews
   200 | en:chicken-nuggets
   199 | en:fruits-in-syrup
   199 | en:feta
   197 | en:camemberts
   196 | en:cake-mixes
   196 | en:skyrs
   196 | en:chocolate-desserts
   195 | en:esl-milks
   195 | en:ground-meat-preparations
   194 | en:canned-herrings
   194 | en:popcorn
   194 | en:onions
   193 | de:fleischsalat
   192 | en:strained-tomatoes
   192 | en:breaded-fish
   191 | en:getreide-und-kartoffeln
   190 | en:fruit-and-fruit-seed-oils
   190 | en:purees
   188 | en:cereal-oils
   188 | en:chocolate-eggs
   188 | en:gummy-bears
   188 | en:apple-nectars
   187 | en:red-beans
   187 | en:egg-pastas
   187 | en:roasted-peanuts
   187 | en:entremets-mousses-and-creamy-puddings
   185 | en:gewurzmittel
   184 | en:wheat-flatbreads
   182 | en:champignon-mushrooms
   182 | en:penne
   182 | en:frozen-fruits
   181 | en:poultry-hams
   181 | en:wheat-semolinas
   181 | en:premixed-alcoholic-beverages
   180 | en:lean-fishes
   180 | en:processed-cheese
   180 | en:peas
   180 | en:plant-based-meals
   180 | en:pumpkin-seeds-and-their-products
   179 | en:turkey-and-its-products
   178 | en:chocolate-cakes
   177 | en:instant-chocolate-powders
   177 | en:rice-puddings
   176 | en:poultry-sausages
   175 | en:free-range-chicken-eggs
   175 | en:fruhstucke
   174 | en:flavored-teas
   174 | en:getranke-und-getrankezubereitungen
   174 | en:drop-cookies
   173 | en:raspberries
   172 | en:lean-quark
   172 | en:pasteurized-cheeses
   171 | en:sheep-s-milk-cheeses
   171 | en:potato-gnocchi
   171 | en:milchprodukte
   170 | en:potato-salads
   170 | fr:charcuteries-diverses
   170 | en:frozen-fishes
   169 | en:green-teas
   169 | en:rye-breads
   169 | en:tortelloni
   168 | en:pistachios
   168 | en:chocolate-molds
   168 | en:pickled-gherkins
   167 | en:coconut-oils
   167 | en:chocolate-covered-nuts
   167 | en:diet-cola-soft-drink
   166 | en:flavoured-milks
   166 | en:prepared-lasagne
   166 | en:chocolate-covered-nuts-and-fruits
   165 | en:vegetarian-pizzas
   163 | en:cheeses-from-the-united-kingdom
   162 | en:walnuts
   162 | en:wines-from-italy
   162 | en:sparkling-apple-nectars
   161 | en:cheeses-from-england
   160 | en:barn-chicken-eggs
   160 | en:ice-cream-bars-coated-with-chocolate
   160 | en:cabbages
   160 | en:flax-seeds
   159 | en:meat-based-sauces
   159 | en:sardines
   159 | en:parmigiano-reggiano
   158 | en:garlic-and-their-products
   158 | en:turkeys
   157 | en:grana-padano
   157 | en:vegetarian-patties
   157 | en:spelt-flours
   156 | en:green-peas
   155 | en:frozen-fries
   155 | en:aliments-et-boissons-a-base-de-vegetaux
   155 | en:hazelnuts
   155 | en:frozen-plant-based-foods-mixes
   155 | en:cheddar-cheese
   154 | en:mixed-vegetables
   154 | en:carbonated-mineral-waters
   153 | en:pineapple
   153 | en:white-beans
   152 | en:balsamic-vinegars-of-modena
   151 | en:soy-milk-yogurts
   150 | en:milk-chocolate-biscuits
   150 | en:strawberries
   150 | en:red-pestos
   149 | en:beef-preparations
   149 | en:spinachs
   149 | en:apple-schorle
   149 | en:mixed-drinks
